file,Cluster1_-1,Cluster1_0,Cluster1_1,Cluster2_-1,Cluster2_0,Cluster2_1
96,-7.1360309398402615,-0.7213529959977326,5.693324947844796,-14.144062277738197,-7.729384333895669,-1.3147063900531402
97,-15.546588327778576,-8.817415600218267,-2.0882428726579576,-7.718605656673521,-0.9894329291132118,5.739739798447097
98,46.97828198993843,82.78230110327021,118.58632021660199,36.33135623241345,72.13537534574523,107.93939445907702
99,1.8822624740125793,9.437975175394332,16.993687876776086,-15.676602708506698,-8.120890007124945,-0.5651773057431928
96,-2.3029176933243605,0.13470602929279277,2.5723297519099457,-8.307121384809879,-5.869497662192726,-3.4318739395755733
97,-5.9969562691947065,-1.1660962913072423,3.6647636865802213,-9.125213695675072,-4.294353717787608,0.5365062600998556
98,2.652323288693437,7.022141576184537,11.391959863675638,-14.402590441360884,-10.032772153869784,-5.662953866378684
99,4.490871023138665,7.975526453999722,11.460181884860779,-20.895268174027578,-17.41061274316652,-13.925957312305464
96,-4.090754895829503,-0.2128847030855123,3.6649854896584784,-6.75818292109501,-2.8803127283510186,0.9975574643929721
97,-5.9969562691947065,-1.1660962913072423,3.6647636865802213,-9.125213695675072,-4.294353717787608,0.5365062600998556
98,-1.0956032756111589,3.3326731668583265,7.760949609327811,-14.484337361074724,-10.056060918605239,-5.627784476135753
99,4.490878390577548,7.975505597085819,11.46013280359409,-20.895251716478807,-17.410624509970535,-13.925997303462264
96,-6.586044395692513,-2.6505249725576445,1.2849944505772242,-4.821216962331425,-0.8856975391965566,3.049821883938312
97,-5.9969562691947065,-1.1660962913072423,3.6647636865802213,-9.125213695675072,-4.294353717787608,0.5365062600998556
98,-1.0956032756111589,3.3326731668583265,7.760949609327811,-14.484337361074724,-10.056060918605239,-5.627784476135753
99,4.490878390577548,7.975505597085819,11.46013280359409,-20.895251716478807,-17.410624509970535,-13.925997303462264
96,-8.307121384807882,-5.8694976621906525,-3.431873939573423,-2.3029176933251883,0.13470602929204112,2.5723297519092707
97,-5.9969562691947065,-1.1660962913072423,3.6647636865802213,-9.125213695675072,-4.294353717787608,0.5365062600998556
98,-1.0956032756111589,3.3326731668583265,7.760949609327811,-14.484337361074724,-10.056060918605239,-5.627784476135753
99,4.490878390577548,7.975505597085819,11.46013280359409,-20.895251716478807,-17.410624509970535,-13.925997303462264
96,-4.090754895829503,-0.2128847030855123,3.6649854896584784,-6.75818292109501,-2.8803127283510186,0.9975574643929721
97,-5.9969562691947065,-1.1660962913072423,3.6647636865802213,-9.125213695675072,-4.294353717787608,0.5365062600998556
98,-1.0956032756111589,3.3326731668583265,7.760949609327811,-14.484337361074724,-10.056060918605239,-5.627784476135753
99,4.490878390577548,7.975505597085819,11.46013280359409,-20.895251716478807,-17.410624509970535,-13.925997303462264
