file,center_1,center_2,center_3,center_4,center_5,center_6,Comment
143,-2.7145016412984218,-0.6817054131452849,1.022544244515947,-8.428483403452644,-6.412258532247195,-4.788211983423025,Check!!!
144,-8.311207772059538,-6.824186427025853,-4.966249536112186,-3.4398363637189697,-0.9585411479969482,0.2641268412447085,Check!!!
145,-7.131542022001807,-2.7359949120741285,2.2917194007108184,-6.183165557403635,-5.2365734075023225,-3.843174634587543,Check!!!
146,-7.560015710206153,-5.059763422655552,-4.002961919302987,-8.132656228494154,-6.762657936437064,-4.601533039650678,
147,-9.338449897132216,-6.76072414435087,-4.579950429352067,-10.220797882263005,-8.14389391551647,-5.774437227294492,
148,-11.624644585039592,-9.324654119407834,-6.206038666578021,-11.625268330723395,-9.324682026934962,-7.606492611943698,Check!!!
149,-14.98772193398992,-12.060982797215923,-10.243049487574863,-17.299484435924175,-14.190674757125253,-11.227647240523613,Check!!!
150,-22.114560238697237,-18.985235158541887,-15.700532948865584,-23.23969545968024,-19.95654207921938,-16.620259627306336,Check!!!
151,-28.152981966698395,-26.658507600332474,-25.23456304391343,-23.725280087028626,-22.39410367554374,-21.106416891217506,Check!!!
152,-31.439307853346723,-29.520563213732256,-27.461713476665455,-30.89172680836356,-28.93588630306823,-26.77560623453314,Check!!!
153,-30.101891333468018,-29.660369932831973,-28.95949798900304,-32.46943477287799,-31.47528649595364,-30.55929866575935,
154,-31.847309563815955,-31.44926651507765,-30.63466253453038,-27.987735322231337,-27.030596440601915,-25.77058007214899,
155,-24.578935685465183,-21.971629894541465,-18.987546700670535,-29.6801328312254,-27.837829361124506,-25.387395352435693,
156,-20.953661984054442,-16.541994289123757,-11.295947297055553,-34.77380249602863,-24.851606690870558,-19.67364996901105,Check!!!
157,-15.380408126116633,-9.949832433465934,-4.581126019952161,-18.331885225207504,-13.755412412235339,-8.624133181102213,Check!!!
158,-27.491494491919852,-6.5868405248567425,-12.67843076706712,-38.96257900112542,-12.678425775040678,-12.678418780089826,Check!!!
159,-10.619594316575352,-8.74843177786516,-3.8293607580833084,1.295178449720898,2.49830041478834,3.4485016142978195,Check!!!
160,-6.843433871218397,-1.0945255960550566,4.698296734951042,-9.907827537869007,-3.8954958340300796,2.2931193795536147,Check!!!
161,-7.2714289518432444,-1.9569432862218066,3.1454432887732784,-9.045718143231198,-3.8540454536956363,1.6142022573546646,Check!!!
162,-3.5672808714377227,-0.5409091581224466,0.2767419346504453,-8.074369902757747,-7.166294253633011,-4.489678442424407,Check!!!
163,-5.6073528299429745,-3.7765714107935877,-1.425128195620243,-8.601139970529463,-6.645757893386337,-4.282569246964832,
164,-9.117006479963903,-7.7876693045991185,-4.33344484491251,-8.472625361834112,-3.8699970017212415,-3.2439002564009494,
165,-6.124385514259729,-5.067436577640949,-3.9557854999794797,-10.665199602127695,-10.004745641079117,-8.937920389476199,
166,-8.498319122137737,-10.588277376083848,-11.60594204625745,-13.783151428335833,-9.315236930293603,-6.102217140235893,
167,-17.18426106833952,-14.665772683123166,-13.987594762306534,-10.765972095796252,-10.76598664657249,8.529906456815622,Check!!!
168,-22.925296301387643,-19.804866243954287,-16.32428623139021,-22.020108824441166,-18.682922742257457,-15.397612730578517,
169,-22.394350546357096,-25.241546420681033,-28.092758629107568,-26.605129893153585,-23.524774324537812,-20.676005898980918,
170,-30.788456062736934,-28.891927602808344,-26.81068480399658,-30.43184615967797,-28.3610427338854,-26.15987226901518,Check!!!
171,-31.881748289555485,-28.941954599430893,-28.93716905837742,-29.4257899726786,-30.716086953940952,-17.93944814233395,Check!!!
172,-31.486608770162903,-30.33865318902999,-25.899648595084926,-31.08844290348098,-26.953046647239848,-24.663586536403734,
173,-28.430916728654946,-24.690682199343843,-23.522414364220356,-44.22086407560635,-28.430090417492757,-18.54448406769469,Check!!!
174,-19.27506016657018,-14.983871030798923,-10.216938334931724,-24.765325752858338,-21.26227349658739,-17.487342613105987,Check!!!
175,-18.69370162250396,-14.7962421501028,-14.79625854973735,-9.021729113208668,-9.021152810646921,-9.020575160818408,Check!!!
176,-12.362795673481221,-12.36279145507995,-12.362787236886627,-39.31021155845592,-33.10077480151709,-24.850005420075775,Check!!!
177,-11.322559689017398,-3.6495026575413125,3.526424597798965,-19.597211211502408,-8.407376516849721,2.389118854325094,Check!!!
178,-10.529835058198318,-4.684389799306809,1.5400188613755743,-6.022668094487782,-0.24857432824902434,5.308641700123274,Check!!!
179,-1.064756099569901,0.2628255222671541,3.741224601341774,-9.890128785015506,-6.041965524920005,-4.997463573319567,Check!!!
