file,Cluster1_-1,Cluster1_0,Cluster1_1,Cluster2_-1,Cluster2_0,Cluster2_1,Comment
191,-13.683575945938161,-15.439408523715521,-17.195241101492883,-20.071424089137622,-20.071356256470615,-20.07128842380361,Check!!!
192,35.65075818559835,9.035955448494079,-17.578847288610195,-17.32277992368698,-17.322665483251253,-17.322551042815526,Check!!!
193,2.4244791494658244,-9.126522648993944,-20.677524447453713,-14.484836932380134,-14.484811512006583,-14.484786091633033,Check!!!
194,-5.927934788304134,-8.40653154734097,-10.885128306377807,-9.02434169575358,-11.501261999738952,-13.978182303724324,Check!!!
195,-7.114879786443227,-8.074955354190088,-9.035030921936949,-4.842069242446873,-9.750385083071414,-14.658700923695957,Check!!!
196,-9.712626806917976,-11.116086314774604,-12.519545822631232,-7.363488548821863,-8.308683441374166,-9.253878333926469,Check!!!
197,-14.284630247625053,-15.620955715463294,-16.957281183301536,9.431808786756596,-1.911873831164065,-13.255556449084727,Check!!!
198,-6.801795494835128,-8.787431132867933,-10.773066770900739,-1.9566278832204684,-3.560727680535035,-5.1648274778496015,Check!!!
199,-10.804584364954975,-13.737101876981654,-16.669619389008332,-3.8501105397841595,-6.063339747321989,-8.276568954859819,Check!!!
200,-33.466761799506614,-32.62255965176961,-31.778357504032613,-30.997676028973885,-30.119005598955443,-29.240335168937,Check!!!
201,-28.95086355701391,-51.188025857996244,-73.42518815897859,-31.8181245872103,-30.90203190267057,-29.985939218130838,Check!!!
202,-24.37593853569703,-26.274850800535976,-28.17376306537492,-23.84813172034925,-25.42986933422356,-27.01160694809787,
203,-17.63710509517869,-28.098405262062983,-38.559705428947275,-17.9539241911503,-19.08439380762487,-20.21486342409944,Check!!!
204,-11.81294496993809,-13.149544847718325,-14.486144725498558,-12.000563119789543,-23.24126042661191,-34.48195773343427,Check!!!
205,-6.755163154225052,-8.612180137990087,-10.469197121755123,-14.688387516401988,-11.831431232882844,-8.9744749493637,
206,-9.200323066062735,-9.199101548596765,-9.197880031130795,-8.973010195005479,-41.23597277514453,-73.49893535528358,Check!!!
207,-9.190136799968464,-10.175013532027467,-11.15989026408647,-15.050553376203844,-13.995100684263855,-12.939647992323867,Check!!!
208,-13.074176233087835,-15.914467516234017,-18.7547587993802,-13.607230132681442,-16.771521608429516,-19.93581308417759,
209,7.560013323840729,-5.407565764469585,-18.3751448527799,-15.197348500351945,-18.290335198194303,-21.38332189603666,Check!!!
210,-12.967969408116844,-16.098316849699433,-19.228664291282023,-15.805026044125448,-19.136858169643315,-22.46869029516118,
191,-13.370897531349417,-16.639070962450315,-19.907244393551213,-16.963505473437415,-19.95960398346391,-22.955702493490406,
192,35.65075818559835,9.035955448494079,-17.578847288610195,-17.32277992368698,-17.322665483251253,-17.322551042815526,Check!!!
193,2.4244791494658244,-9.126522648993944,-20.677524447453713,-14.484836932380134,-14.484811512006583,-14.484786091633033,Check!!!
194,-5.927934788304134,-8.40653154734097,-10.885128306377807,-9.02434169575358,-11.501261999738952,-13.978182303724324,Check!!!
195,-7.114879786443227,-8.074955354190088,-9.035030921936949,-4.842069242446873,-9.750385083071414,-14.658700923695957,Check!!!
196,-9.712626806917976,-11.116086314774604,-12.519545822631232,-7.363488548821863,-8.308683441374166,-9.253878333926469,Check!!!
197,-14.284630247625053,-15.620955715463294,-16.957281183301536,9.431808786756596,-1.911873831164065,-13.255556449084727,Check!!!
198,-6.801795494835128,-8.787431132867933,-10.773066770900739,-1.9566278832204684,-3.560727680535035,-5.1648274778496015,Check!!!
199,-10.804584364954975,-13.737101876981654,-16.669619389008332,-3.8501105397841595,-6.063339747321989,-8.276568954859819,Check!!!
200,-33.466761799506614,-32.62255965176961,-31.778357504032613,-30.997676028973885,-30.119005598955443,-29.240335168937,Check!!!
201,-28.95086355701391,-51.188025857996244,-73.42518815897859,-31.8181245872103,-30.90203190267057,-29.985939218130838,Check!!!
202,-24.37593853569703,-26.274850800535976,-28.17376306537492,-23.84813172034925,-25.42986933422356,-27.01160694809787,
203,-17.63710509517869,-28.098405262062983,-38.559705428947275,-17.9539241911503,-19.08439380762487,-20.21486342409944,Check!!!
204,-11.81294496993809,-13.149544847718325,-14.486144725498558,-12.000563119789543,-23.24126042661191,-34.48195773343427,Check!!!
205,-6.755163154225052,-8.612180137990087,-10.469197121755123,-14.688387516401988,-11.831431232882844,-8.9744749493637,
206,-9.200323066062735,-9.199101548596765,-9.197880031130795,-8.973010195005479,-41.23597277514453,-73.49893535528358,Check!!!
207,-9.190136799968464,-10.175013532027467,-11.15989026408647,-15.050553376203844,-13.995100684263855,-12.939647992323867,Check!!!
208,-13.074176233087835,-15.914467516234017,-18.7547587993802,-13.607230132681442,-16.771521608429516,-19.93581308417759,
209,7.560013323840729,-5.407565764469585,-18.3751448527799,-15.197348500351945,-18.290335198194303,-21.38332189603666,Check!!!
210,-12.967969408116844,-16.098316849699433,-19.228664291282023,-15.805026044125448,-19.136858169643315,-22.46869029516118,
191,-13.370897531349417,-16.639070962450315,-19.907244393551213,-16.963505473437415,-19.95960398346391,-22.955702493490406,
192,-11.949094203067315,-17.590923202815187,-23.23275220256306,-15.240477681568194,-17.54722828144257,-19.853978881316948,Check!!!
193,2.4244791494658244,-9.126522648993944,-20.677524447453713,-14.484836932380134,-14.484811512006583,-14.484786091633033,Check!!!
194,-5.927934788304134,-8.40653154734097,-10.885128306377807,-9.02434169575358,-11.501261999738952,-13.978182303724324,Check!!!
195,-7.114879786443227,-8.074955354190088,-9.035030921936949,-4.842069242446873,-9.750385083071414,-14.658700923695957,Check!!!
196,-9.712626806917976,-11.116086314774604,-12.519545822631232,-7.363488548821863,-8.308683441374166,-9.253878333926469,Check!!!
197,-14.284630247625053,-15.620955715463294,-16.957281183301536,9.431808786756596,-1.911873831164065,-13.255556449084727,Check!!!
198,-6.801795494835128,-8.787431132867933,-10.773066770900739,-1.9566278832204684,-3.560727680535035,-5.1648274778496015,Check!!!
199,-10.804584364954975,-13.737101876981654,-16.669619389008332,-3.8501105397841595,-6.063339747321989,-8.276568954859819,Check!!!
200,-33.466761799506614,-32.62255965176961,-31.778357504032613,-30.997676028973885,-30.119005598955443,-29.240335168937,Check!!!
201,-28.95086355701391,-51.188025857996244,-73.42518815897859,-31.8181245872103,-30.90203190267057,-29.985939218130838,Check!!!
202,-24.37593853569703,-26.274850800535976,-28.17376306537492,-23.84813172034925,-25.42986933422356,-27.01160694809787,
