file,center_1,center_2,center_3,center_4,center_5,center_6,Comment
360,-8.379349437270728,-5.991145347272494,-3.6370597955592787,-10.76202869859403,-28.02892366938634,-24.479625331601696,Check!!!
361,-4.298445292025075,-1.5593914021173558,1.3627525483170875,-32.7308734890445,-31.28274747064673,-29.417475081098495,Check!!!
362,1.721745562244444,3.559081517920091,5.673808796208448,-33.15091443673477,-32.84871079256154,-32.4033119407406,Check!!!
363,6.079539809563352,6.735229878001392,7.54495384403311,-31.42495893478668,-30.363275292548497,-28.936774478938602,
364,7.021396103752423,7.730858635442963,8.732815870450734,-27.302407136989782,-24.570248107120367,-21.38402208773119,Check!!!
365,4.42950513095861,6.617484288081626,9.284160979585616,-21.137857477546056,-16.848599844093467,-12.28287265116566,Check!!!
366,0.025793764719386464,4.245185756544819,8.62133539330616,-15.38973585139409,-9.751848887569276,-3.9990331642625097,Check!!!
367,-4.85904529619527,0.9794229562385833,6.656661304286516,-11.018268656125121,-3.9682457479687776,2.31189435147475,Check!!!
368,-8.730485590188245,-2.2459729013831513,4.29756258323029,-7.321320569330729,-1.1436935609399757,5.725989953126139,Check!!!
369,-8.562989423255697,-2.274431957969439,3.9273653113698965,-10.144058913414215,-3.611707600263823,2.912694524511575,Check!!!
370,-8.946792774832733,-3.790855391331447,1.7212566708654422,-11.246415531660478,-5.1147107606193005,0.8468949030111168,Check!!!
371,-8.153727691279379,-4.963737557508873,-1.5121307379300852,-12.389064013819697,-7.197288409073984,-1.5130732902823503,Check!!!
372,-6.937186081017517,-6.751744687252441,-4.860735816558208,-13.579880439004638,-9.020652998653246,-4.860537386450997,Check!!!
373,-6.595038079729558,-5.825668951310868,-5.8256496942471285,-14.14589670575729,-11.679337872730194,-7.679662660837948,Check!!!
374,-5.8323519748202655,-7.177938521110609,-8.619807337687087,-16.84576627452132,-15.702689674511706,-14.546052075242564,Check!!!
375,-11.89473480709308,-9.39891035549239,-7.15341687779981,-17.796062016854222,-16.67974392919776,-15.491333174554416,Check!!!
