file,center_1,center_2,center_3,center_4,center_5,center_6,Comment
214,-11.390655402322157,-9.518677099256848,-7.63663000570746,-15.269796393063988,-12.409367274645628,-9.61966963477413,Check!!!
215,-16.370188554495087,-14.850448652737606,-13.045443930945096,-19.292547770328063,-16.833129456896035,-13.952541518533549,
216,-23.095058925629353,-7.317508564532145,10.369935747619328,-23.09502229538399,-20.95504393260693,-20.955015558200344,Check!!!
217,-15.186531412183886,-13.428585703027384,-12.134177589143976,-19.122565419740226,-17.51999682104925,-15.66675157090361,Check!!!
