,angle,freq_sum,freq_diff,freq_1D,freq_2D,freq_3D,acs,csa,acs_anti
0,0.0,43590.566671314504,349833.33333333326,189442.46023804246,14538.979528562839,-160390.8730952908,0.0,0.0,-0.0
1,1.8000000000000003,43597.07731701643,349147.28682684404,189101.90269970696,14540.558744446542,-160045.38412713708,1.975921603639057,-0.02229708844974446,-1.975921603639057
2,3.6000000000000005,43616.57924305467,347083.95166038186,188077.6175969834,14545.29570946975,-159006.33406339848,3.9440451474212628,-0.08883671539449034,-3.9440451474212628
3,5.4,43648.9826027409,343651.4724487373,186373.63338027967,14553.188290918863,-157277.83906845763,5.896603346869431,-0.1985695111684726,-5.896603346869431
4,7.200000000000001,43694.13827149867,338863.39821418084,183996.65191622975,14564.232653220004,-154866.7462979511,7.825890346809327,-0.3497649240311408,-7.825890346809327
5,9.0,43751.8387704097,332738.6288737388,180956.02240090602,14578.422842336484,-151782.6064728328,9.724292132859576,-0.5400385120018889,-9.724292132859576
6,10.8,43821.81954664609,325301.3405934675,177263.70496217103,14595.750215771543,-148037.6356312965,11.584316580467917,-0.7663895469344857,-11.584316580467917
7,12.6,43903.76059845384,316580.89030520926,172934.22408693875,14616.202729785602,-143646.66621827052,13.398623022903976,-1.0252483377924912,-13.398623022903976
8,14.399999999999999,43997.28842911543,306611.69976377743,167984.6120472364,14639.764098420048,-138627.08771654102,15.160051221517229,-1.312532526809327,-15.160051221517229
9,16.199999999999996,44101.97831127967,295433.11960347724,162434.34253654908,14666.412841658737,-132998.77706692816,16.86164962392775,-1.6237114707089426,-16.86164962392775
10,17.999999999999996,44217.356840259774,283089.27393198706,156305.25476486923,14696.121242508372,-126784.01916711783,18.496702798627588,-1.9538776916567506,-18.496702798627588
11,19.799999999999997,44342.904752390634,269628.8860766121,149621.4682970523,14728.854234898103,-120007.4177795598,20.05875793772094,-2.2978242711166628,-20.05875793772094
12,21.599999999999994,44478.05998233965,255105.0861724377,142409.28895436326,14764.568246050818,-112695.79721807444,21.541650323208916,-2.6501269660668703,-21.541650323208916
13,23.399999999999995,44622.22093140836,239575.20135368448,134697.10613337954,14803.210018333768,-104878.09522030495,22.9395276563151,-3.0052297525525784,-22.9395276563151
14,25.199999999999992,44774.749917365814,223100.52937831212,126515.28192957386,14844.715436530216,-96585.24744873826,24.246873153835104,-3.357532447502786,-24.246873153835104
15,26.999999999999993,44934.976775235904,205746.09658133783,117896.03248480204,14889.008386969661,-87850.06409653579,25.458527320359565,-3.701479026962698,-25.458527320359565
16,28.799999999999997,45102.202577730466,187580.40111421118,108873.30200846992,14935.999675001807,-78707.09910574126,26.569708310445357,-4.031645247910506,-26.569708310445357
17,30.599999999999998,45275.70344368265,168675.1424856308,99482.62995120877,14985.586026895891,-69192.51253442201,27.576030800374923,-4.342824191810122,-27.576030800374923
18,32.400000000000006,45454.73440288941,149104.9384732059,89761.01183734942,15037.64920139646,-59343.92663585647,28.473523295025508,-4.630108380826961,-28.473523295025508
19,34.2,45638.53328621379,128947.03052512546,79746.7542882292,15092.055234880843,-49200.27623689626,29.258643801546036,-4.888967171684963,-29.258643801546036
20,36.00000000000001,45826.32461061165,108280.97881630901,69479.32479227985,15148.653842360965,-38801.65402402916,29.92829380798475,-5.115318206617562,-29.92829380798475
21,37.80000000000001,46017.32342991813,87188.34816420444,58999.19679982238,15207.277994477803,-28189.151364382058,30.47983051170018,-5.305591794588311,-30.47983051170018
22,39.60000000000001,46210.7391237327,65752.3860452995,48347.69074042482,15267.743688182565,-17404.69530487468,30.911077249295943,-5.456787207450979,-30.911077249295943
23,41.40000000000002,46405.77909855189,44057.6939844035,37566.8115784667,15329.849926021983,-6490.882405936795,31.22033208691662,-5.566520003224961,-31.22033208691662
24,43.20000000000002,46601.652377380844,22189.893614691904,26699.083538092244,15393.378915888266,4509.189923400339,31.40637453700323,-5.633059630169708,-31.40637453700323
25,45.00000000000002,46797.57305637822,235.28872731256342,15787.38264194275,15458.096499805284,15552.093914630186,31.468470375,-5.655356718619451,-31.468470375
26,46.80000000000002,46992.76360960829,-21719.47535506498,4874.767718845819,15523.752816851676,26594.2430739108,31.406374537003227,-5.633059630169704,-31.406374537003227
27,48.60000000000002,47186.458025654894,-43587.75373606914,-5995.689456069059,15590.083201723868,37592.064280000086,31.22033208691662,-5.56652000322496,-31.22033208691662
28,50.40000000000002,47377.90476264428,-65283.24388513246,-16781.074219630595,15656.809316773008,48502.16966550187,30.91107724929593,-5.456787207450975,-30.91107724929593
29,52.20000000000003,47566.36951108875,-86720.32620933634,-27438.798604957767,15723.640511667934,59281.52760437858,30.479830511700168,-5.305591794588307,-30.479830511700168
30,54.000000000000036,47751.137756850774,-107814.40191390397,-37926.769779126116,15790.275401199031,69887.63213477786,29.928293807984733,-5.115318206617558,-29.928293807984733
31,55.80000000000003,47931.517139396696,-128482.22681860639,-48203.556663706404,15856.403648203115,80278.67015489998,29.258643801546025,-4.888967171684961,-29.258643801546025
32,57.60000000000003,48106.83960331224,-148642.2398135494,-58228.554072725135,15921.70793521313,90413.68574082425,28.473523295025487,-4.630108380826954,-28.473523295025487
33,59.400000000000034,48276.46334375097,-168214.88465919686,-67962.14371035925,15985.866105272602,100252.74094883761,27.57603080037491,-4.342824191810119,-27.57603080037491
34,61.20000000000004,48439.77454903547,-187122.9238619614,-77365.85138118982,16048.553449453702,109757.07248077159,26.56970831044535,-4.031645247910501,-26.56970831044535
35,63.00000000000004,48596.18894599848,-205291.74338816456,-86402.49977909627,16109.445116026453,118889.24360906829,25.45852732035955,-3.7014790269626934,-25.45852732035955
36,64.80000000000004,48745.15315579668,-222649.64701548702,-95036.35623683858,16168.21861398682,127613.29077864844,24.246873153835075,-3.3575324475027797,-24.246873153835075
37,66.60000000000004,48886.14586983014,-239128.13916206983,-103233.27483701977,16224.55638179985,135894.86432505006,22.93952765631507,-3.0052297525525713,-22.93952765631507
38,68.40000000000005,49018.6788570224,-254662.19507900934,-110960.83230638405,16278.148390781167,143701.3627726253,21.54165032320889,-2.650126966066863,-21.54165032320889
39,70.20000000000005,49142.297815047394,-269190.5173419461,-118188.45713922457,16328.694751550458,151002.0602027215,20.058757937720912,-2.2978242711166557,-20.058757937720912
40,72.00000000000006,49256.58307910641,-282655.77763155947,-124887.55142195709,16375.908291461117,157768.22620960238,18.49670279862755,-1.9538776916567426,-18.49670279862755
41,73.80000000000005,49361.1502025549,-295004.84285086463,-131031.60485958053,16419.51707085135,163973.23799128408,16.861649623927704,-1.6237114707089346,-16.861649623927704
42,75.60000000000005,49455.65042405152,-306188.98468899896,-136596.30053566225,16459.266806377058,169592.6841533367,15.16005122151718,-1.3125325268093184,-15.16005122151718
43,77.40000000000006,49539.77103594504,-316164.071806469,-141559.61197054718,16494.923170570408,174604.45983592182,13.398623022903921,-1.0252483377924828,-13.398623022903921
44,79.20000000000006,49613.235668344016,-324890.74388533365,-145901.89107754987,16526.273938110102,178988.85280778378,11.584316580467855,-0.7663895469344779,-11.584316580467855
45,81.00000000000006,49675.80450272834,-332334.56685925566,-149605.94665379822,16553.13095106912,182728.62020545744,9.72429213285951,-0.5400385120018817,-9.72429213285951
46,82.80000000000007,49727.27442809503,-338466.1687124899,-152657.11308099737,16575.331877599863,185809.05563149252,7.825890346809261,-0.3497649240311348,-7.825890346809261
47,84.60000000000007,49767.47915148261,-343261.3553133947,-155043.30895150162,16592.741741091162,188218.04636189307,5.896603346869362,-0.1985695111684679,-5.896603346869362
48,86.40000000000008,49796.28927333906,-346701.205826654,-156755.08537653246,16605.254199749997,189946.12045012153,3.944045147421191,-0.08883671539448704,-3.944045147421191
49,88.20000000000007,49813.61233659493,-348772.1473287833,-157785.66377598373,16612.792559779115,190986.48355279956,1.9759216036389802,-0.02229708844974271,-1.9759216036389802
50,90.00000000000007,49819.392856529535,-349466.0083333333,-158130.96299279798,16615.310508792194,191335.04534053532,-7.935378883456632e-14,-3.6529832149976107e-29,7.935378883456632e-14
51,91.80000000000008,49813.61233659493,-348780.0510151977,-157789.61561919094,16612.792559779115,190990.43539600677,-1.9759216036391387,-0.022297088449746327,1.9759216036391387
52,93.60000000000008,49796.28927333906,-346716.98200724344,-156762.97346682718,16605.254199749997,189954.00854041625,-3.944045147421347,-0.0888367153944942,3.944045147421347
53,95.40000000000008,49767.47915148261,-343284.94172678184,-155055.1021581952,16592.741741091162,188229.83956858664,-5.896603346869516,-0.19856951116847843,5.896603346869516
54,97.20000000000007,49727.274428095,-338497.4722738767,-152672.76486169078,16575.33187759986,185824.70741218593,-7.825890346809411,-0.34976492403114856,7.825890346809411
55,99.00000000000009,49675.80450272834,-332373.4640277865,-149625.39523806365,16553.130951069117,182748.06878972286,-9.724292132859665,-0.5400385120018988,9.724292132859665
56,100.8000000000001,49613.235668344016,-324937.0811516548,-145925.05971071045,16526.273938110095,179012.02144094437,-11.584316580468004,-0.7663895469344979,11.584316580468004
57,102.6000000000001,49539.77103594504,-316217.6662985598,-141586.40921659258,16494.923170570408,174631.25708196723,-13.398623022904065,-1.0252483377925055,13.398623022904065
58,104.4000000000001,49455.65042405152,-306249.6248938841,-136626.62063810483,16459.26680637705,169623.0042557793,-15.16005122151732,-1.312532526809343,15.16005122151732
59,106.2000000000001,49361.1502025549,-295072.28944935935,-131065.32815882789,16419.51707085135,164006.96129053144,-16.861649623927846,-1.6237114707089604,16.861649623927846
60,108.0000000000001,49256.58307910639,-282729.76444275293,-124924.54482755382,16375.908291461112,157805.2196151991,-18.496702798627677,-1.95387769165677,18.496702798627677
61,109.80000000000011,49142.297815047394,-269270.75237369584,-118228.57465509945,16328.694751550456,151042.1777185964,-20.05875793772103,-2.297824271116683,20.05875793772103
62,111.60000000000011,49018.67885702239,-254748.36168030108,-111003.91560702994,16278.148390781162,143744.44607327116,-21.541650323209016,-2.6501269660668925,21.541650323209016
63,113.4000000000001,48886.14586983014,-239219.89727269375,-103279.15389233173,16224.556381799845,135940.74338036202,-22.939527656315178,-3.0052297525525997,22.939527656315178
64,115.2000000000001,48745.15315579668,-222746.634508101,-95084.84998314557,16168.218613986817,127661.78452495544,-24.246873153835182,-3.357532447502807,24.246873153835182
65,117.00000000000011,48596.18894599847,-205393.5774974447,-86453.41683373634,16109.445116026449,118940.16066370836,-25.458527320359636,-3.7014790269627174,25.458527320359636
