,angle,freq_sum,freq_diff,freq5232,freq3212,freq1212,freq1232,freq3252,acs,csa,acs_anti
0,0.0,47609.863335021175,0.0,26865.87450800969,18190.695638303423,9518.744717800697,850.0217465015069,-7815.473275594146,34.12295996795192,-7.115737317955023,-34.12295996795192
1,5.625,69271.42635783035,0.0,28290.320559993932,21068.773081081377,13850.755436867448,6636.26762735214,-574.6903474645422,34.80977458406567,-7.875257057143819,-34.80977458406567
2,11.25,89325.04949671771,0.0,29085.651833061827,23471.648430572517,17861.327463713376,12254.688932484401,6651.732836885594,34.51352255395039,-7.991832714572016,-34.51352255395039
3,16.875,107000.03460810034,0.0,29221.243730036465,25306.978521937053,21396.360117728855,17489.38851741187,13586.063720986094,33.24558867698335,-7.4786324828074315,-33.24558867698335
4,22.5,121617.11714531727,0.0,28691.779037708395,26504.193775728327,24320.015971405857,22139.245624740983,19961.882735733714,31.054698940990896,-6.440063661298122,-31.054698940990896
5,28.125,132614.57368691612,0.0,27517.46847689788,27017.21606536272,26519.93919560539,26025.637867625905,25534.31208142424,28.025048009862086,-5.054867772798685,-28.025048009862086
6,33.75,139569.80821684044,0.0,25743.294767807518,26826.240102503907,27911.573540284186,28999.295081148368,30089.404725096447,24.27306366983239,-3.5481160322922936,-24.27306366983239
7,39.375,142215.58767423546,0.0,23437.306101503204,25938.508264578795,28441.41398125074,30946.023251519033,33452.336075383675,19.94293257495209,-2.1563990695156092,-19.94293257495209
8,45.0,140450.30354677115,0.0,20688.021229031354,24388.04699928037,28089.06673944181,31791.080449515663,35494.08812950194,15.201059234831945,-1.0915314069774869,-15.201059234831945
9,50.62499999999999,134341.86638168767,0.0,17601.042822563224,22234.372694136247,26868.037921023402,31502.038503224685,36136.3744407401,10.22967118265955,-0.5083069927633916,-10.22967118265955
10,56.25,124125.08511071498,0.0,14295.006958322845,19560.214690595545,24825.219722505622,30090.02205405307,35354.62168523789,5.219816073293374,-0.48121462473721344,-5.219816073293374
11,61.87499999999999,110192.63356101653,0.0,10897.02320290652,16468.341393756124,22039.093148404514,27609.2784668517,33178.89734909767,0.36401982902723534,-0.9936473177022239,-0.36401982902723534
