,angle,freq_sum,freq_diff,freq5232,freq3212,freq1212,freq1232,freq3252,acs,csa,acs_anti
0,0.0,17089.3517461721,0.0,1164.1176938902959,2290.8930333999233,3417.7693610719853,4544.746676906483,5671.824980903413,-7.8327876862817565,-5.118185631368586,7.8327876862817565
1,5.625,31282.218280281133,0.0,4018.2238349502036,5137.134435458554,6256.2443460115655,7375.553566609238,8495.062097251572,-9.833045784048434,-5.888168673608934,9.833045784048434
2,11.25,42940.60646605691,0.0,6284.7222201705445,7436.120431636514,8587.819968156931,9739.820829731801,10892.123016361118,-11.783257000567724,-6.502387212889206,11.783257000567724
3,16.875,51616.49067514929,0.0,7876.521276203758,9099.50680256437,10322.89523197742,11546.686564442909,12770.880799960834,-13.608475812479847,-6.928277191899705,13.608475812479847
4,22.5,56976.460882416104,0.0,8732.450998257438,10063.371896042692,11394.792485155584,12726.712765596112,14059.132737364278,-15.238560084437527,-7.146950436607417,15.238560084437527
5,28.125,58814.535526762804,0.0,8819.613383690077,10290.672894276353,11762.319755107595,13234.553966183803,14707.375527504977,-16.61086659203122,-7.154304387768831,16.61086659203122
6,33.75,57060.07740585335,0.0,8134.647460754696,9772.669656540664,11411.353666748651,13050.699491378658,14690.707130430683,-17.67265836577245,-6.960524982236802,17.67265836577245
7,39.375,51780.50838016195,0.0,6703.8601798614345,8529.261372921315,10355.382121006794,12182.222424117866,14009.782282254539,-18.383131343256032,-6.58810147203006,18.383131343256032
8,45.0,43178.71853806449,0.0,4582.217873751661,6608.222973721803,8634.985890652422,10662.506624543515,12690.785175395087,-18.714982446395105,-6.0686721031887405,18.714982446395105
9,50.62499999999999,31585.269363560947,0.0,1851.2366755482676,4083.3704677591372,6316.279066341099,8549.962471294151,10784.420682618294,-18.655458823400284,-5.439170515880882,18.655458823400284
10,56.25,17445.69051624636,0.0,-1384.147452923077,1051.7255163391894,3488.368294425364,5925.780881335446,8363.963277069437,-18.20684793372202,-4.737822532467036,18.20684793372202
11,61.87499999999999,1303.358390126029,0.0,-4999.60920255906,-2370.2119883985365,259.92845189359633,2890.8121183173384,5522.43901087269,-17.38638964226677,-4.0005405459321945,17.38638964226677
12,67.5,-16221.385583438747,0.0,-8856.210346135244,-6050.940260389141,-3244.973645665393,-438.310501964002,2369.049170715033,-16.225613701056844,-3.258179350527879,16.225613701056844
13,73.12500000000001,-34455.07440959832,0.0,-12805.738761076927,-9849.008953521694,-6891.64701394306,-3933.652942341032,-975.0267387156065,-14.76912807854229,-2.5349665397552883,14.76912807854229
14,78.75000000000001,-52696.99662777592,0.0,-16696.404915162926,-13618.455327066133,-10539.952532262263,-7460.896530751315,-4381.287322533291,-13.072904700389799,-1.8482262312781472,13.072904700389799
15,84.37500000000003,-70246.12441611392,0.0,-20378.67678412747,-17214.414286976087,-14049.688336523746,-10884.498932770442,-7718.846075716176,-11.202128479768742,-1.209307051885963,11.202128479768742
16,90.00000000000001,-86428.0538469057,0.0,-23711.028705019497,-20498.686594334642,-17285.97762651547,-14072.901801561966,-10859.459119474135,-9.228692297694193,-0.6254360879323626,9.228692297694193
17,95.62500000000003,-100620.92197136408,0.0,-26565.38287145343,-23345.05108667767,-20124.451848087363,-16903.58515568251,-13682.451009463108,-7.228434199927516,-0.10207891230066463,7.228434199927516
18,101.25000000000004,-112279.30473641824,0.0,-28832.03393948408,-25644.116568279333,-22456.030072179117,-19267.774451183435,-16079.349705292281,-5.278222983408219,0.3546865816405544,5.278222983408219
19,106.87500000000004,-120955.17733897374,0.0,-30423.867091190066,-27307.526718834964,-24191.110907137307,-21074.61965609709,-17958.05296571431,-3.453004171496093,0.7362671354190563,3.453004171496093
20,112.50000000000006,-126315.1315208784,0.0,-31279.70713102189,-28271.356265912375,-25263.015852489272,-22254.68589075258,-19246.366380702297,-1.8229198995384137,1.0305202833274625,1.8229198995384137
21,118.12500000000007,-128153.18816075387,0.0,-31366.66970964334,-28498.567803333746,-25630.55176458746,-22762.62159340449,-19894.777289784826,-0.4506133919447254,1.2218371109934825,0.4506133919447254
22,123.75000000000006,-126398.7127972816,0.0,-30681.424274083212,-27980.434809972103,-25279.593952658655,-22578.901702142874,-19878.358058424754,0.6111783817965013,1.2923968749497758,-0.6111783817965013
23,129.37500000000009,-121119.12991595968,0.0,-29250.32032801495,-26736.876230030935,-24223.62905761943,-21710.57881078043,-19197.72548951393,1.3216513592800792,1.2244455849010065,-1.3216513592800792
24,135.00000000000009,-112517.33171455811,0.0,-27128.372413582245,-24815.689875066302,-22503.23683973099,-20191.013307576308,-17879.019278602256,1.6535024624191497,1.003268351415815,-1.6535024624191497
25,140.62500000000009,-100923.88094970518,0.0,-24397.143190004812,-22290.714278819236,-20184.530778787346,-18078.59268990915,-15972.90001218465,1.593978839424321,0.6203926307166061,-1.593978839424321
26,146.25000000000009,-86784.30752311216,0.0,-21161.606378723158,-19258.989841975577,-17356.61740492522,-15454.489067572073,-13552.604829916152,1.1453679497460532,0.07649769264180878,-1.1453679497460532
27,151.87500000000009,-70641.98700352866,0.0,-17546.110533414383,-15837.028557610056,-14128.17199125573,-12419.540834351408,-10711.135086897084,0.32490965829079416,-0.6164748686610416,-0.32490965829079416
28,157.50000000000009,-53117.25905532596,0.0,-13689.599072060044,-12156.335832020352,-10623.262201522926,-9090.378180567765,-7557.683769154869,-0.8358662829191386,-1.4344159672660528,0.8358662829191386
29,163.1250000000001,-34883.588233637616,0.0,-9740.270463929539,-8358.356599700086,-6976.580191099078,-5594.941238126515,-4213.439740782397,-2.2923519054336965,-2.3415916545432527,2.2923519054336965
