,angle,freq_sum,freq_diff,freq_3212,freq_1212,freq_1232,acs,csa,acs_anti
0,0.0,2990049.109080538,166666666.66666666,83328192.24833333,3000331.279080518,-83338474.41833332,0.0,0.0,-0.0
1,5.625,3277044.3425874114,165016558.550083,82731979.66948755,2829643.553695321,-82284578.88059546,-24386.290252016035,-54.4515077435929,24386.290252016035
2,11.25,4104218.110494718,160227204.48528424,80988995.26372012,2353432.0683387066,-79238209.22156411,-47835.42904563622,-209.51628252455623,47835.42904563622
3,16.875,5374902.473504409,152482691.95938775,78092089.8892426,1673414.6544069573,-74390602.07014515,-69446.27912745027,-441.58711804817244,69446.27912745027
4,22.5,6943165.7897410095,142080691.07024893,74041645.03084978,940566.7982903658,-68039046.03939915,-88388.34764831845,-715.3333333333335,88388.34764831845
5,28.125,8634203.373755477,129421007.18946066,68862448.50474522,330313.55372570176,-60558558.68471544,-103933.70153781815,-989.0795486184943,103933.70153781815
6,33.75,10268492.39384073,114990207.17986137,62622665.42071123,13368.732279644348,-52367541.75915014,-115484.94156391083,-1221.15038414211,115484.94156391083
7,39.375,11686128.08506167,99342911.41759205,55451142.1792135,126755.14422671404,-43891769.23837855,-122598.16005040382,-1376.215158923074,122598.16005040382
8,45.0,12767751.387542196,83080472.00000001,47549345.34156104,749532.7044201279,-35531126.65843897,-125000.00000000003,-1430.666666666667,125000.00000000003
9,50.62499999999999,13449013.257610857,66827857.74823734,39194905.164066836,1887060.6777145304,-27632952.584170505,-122598.16005040382,-1376.215158923074,122598.16005040382
10,56.25,13726516.050395444,51209635.119013086,30734909.462307237,3466332.244794053,-20474725.65670585,-115484.94156391086,-1221.1503841421109,115484.94156391086
11,61.87499999999999,13654475.604476333,36825968.35286029,22568602.1817058,5343239.593925022,-14257366.171154488,-103933.70153781817,-989.079548618495,103933.70153781817
12,67.5,13332760.348202491,24229560.872491065,15120754.89548125,7320811.429731056,-9108805.977009816,-88388.34764831845,-715.3333333333337,88388.34764831845
13,73.12500000000001,12888270.824150767,13904423.242296908,8808452.706231255,9175788.653985165,-5095970.536065653,-69446.27912745027,-441.58711804817244,69446.27912745027
14,78.75000000000001,12452625.721156102,6247282.400069759,4005142.3552977126,10689623.410630437,-2242140.0447720466,-47835.42904563619,-209.516282524556,47835.42904563619
15,84.37500000000003,12139666.590627056,1552345.1495446018,1006357.3298826893,11679297.080406278,-545987.8196619125,-24386.29025201597,-54.45150774359257,24386.29025201597
16,90.00000000000001,12026300.39172207,1.914486347232014e-10,1470.3118000000952,12023359.768122071,1470.3117999999038,9.571421747317375e-11,-8.388249481076603e-28,-9.571421747317375e-11
17,95.62500000000003,12139666.590627057,1649890.3105526809,1055129.9103867323,11679297.080406275,-594760.4001659486,24386.29025201615,-54.45150774359341,-24386.29025201615
18,101.25000000000004,12452625.72115611,6438624.116252379,4100813.2133890293,10689623.41063043,-2337810.9028633493,47835.42904563637,-209.5162825245576,-47835.42904563637
19,106.87500000000004,12888270.824150763,14182208.35880677,8947345.264486194,9175788.653985146,-5234863.094320576,69446.27912745043,-441.58711804817426,-69446.27912745043
20,112.50000000000006,13332760.34820249,24583114.263084438,15297531.590777945,7320811.429731036,-9285582.672306493,88388.34764831858,-715.3333333333356,-88388.34764831858
21,118.12500000000007,13654475.60447634,37241703.15901169,22776469.584781513,5343239.593925006,-14465233.57423018,103933.70153781833,-989.079548618497,-103933.70153781833
22,123.75000000000006,13726516.050395451,51671574.885268874,30965879.345435143,3466332.244794039,-20705695.539833732,115484.94156391095,-1221.150384142113,-115484.94156391095
23,129.37500000000009,13449013.257610854,67318250.38843912,39440101.48416773,1887060.6777145136,-27878148.90427139,122598.16005040388,-1376.2151589230755,-122598.16005040388
24,135.00000000000009,12767751.387542188,83580472.00000018,47799345.341561124,749532.7044201186,-35781126.658439055,125000.00000000003,-1430.666666666667,-125000.00000000003
25,140.62500000000009,11686128.085061647,99833304.05779386,55696338.4993144,126755.14422671031,-44136965.55847946,122598.16005040376,-1376.2151589230723,-122598.16005040376
26,146.25000000000009,10268492.3938407,115452146.94611724,62853635.30383915,13368.732279645279,-52598511.64227809,115484.94156391075,-1221.1503841421081,-115484.94156391075
27,151.87500000000009,8634203.373755455,129836741.99561208,69070315.90782091,330313.55372571293,-60766426.087791175,103933.70153781792,-989.0795486184898,-103933.70153781792
28,157.50000000000009,6943165.78974098,142434244.4608425,74218421.72614655,940566.7982903784,-68215822.73469594,88388.34764831816,-715.3333333333286,-88388.34764831816
29,163.1250000000001,5374902.473504409,152760477.0758977,78230982.44749756,1673414.6544069722,-74529494.62840013,69446.2791274499,-441.5871180481678,-69446.2791274499
30,168.7500000000001,4104218.1104946733,160418546.2014669,81084666.12181142,2353432.068338717,-79333880.07965547,47835.429045635785,-209.51628252455254,-47835.429045635785
31,174.37500000000014,3277044.3425873965,165114103.7110911,82780752.24999158,2829643.5536953295,-82333351.46109952,24386.29025201555,-54.451507743590696,-24386.29025201555
32,180.0000000000001,2990049.109080538,166666666.66666666,83328192.24833333,3000331.279080518,-83338474.41833332,-5.244953423338946e-10,-2.5188465127375835e-26,5.244953423338946e-10
33,185.6250000000001,3277044.342587441,165016558.55008298,82731979.66948755,2829643.553695314,-82284578.88059543,-24386.290252016574,-54.45150774359529,24386.290252016574
