,angle,freq_sum,freq_diff,freq5232,freq3212,freq1212,freq1232,freq3252,acs,csa,acs_anti
0,0.0,47609.863335021175,0.0,26865.87450800969,18190.695638303423,9518.744717800697,850.0217465015069,-7815.473275594146,34.12295996795192,-7.115737317955023,-34.12295996795192
1,5.625,49065.45884290695,0.0,23508.289009178385,16656.82607944377,9809.227459145271,2965.49314828289,-3874.3768531433734,37.62472943795179,-6.59810779990206,-37.62472943795179
2,11.25,48496.14556588718,0.0,19305.887004710137,14498.231492691042,9694.90254692469,4895.900167411082,101.2243541502212,39.98161129394842,-5.754958123460916,-39.98161129394842
3,16.875,45923.71094562723,0.0,14419.984359858447,11797.828163950018,9180.207078583519,6567.121103758947,3958.570239476303,41.103031887970396,-4.718742601433241,-41.103031887970396
4,22.5,41446.95889406505,0.0,9038.189433567193,8659.344927485366,8284.946100108275,7914.992951435919,7549.4854814683,40.94589565548939,-3.6365111322054786,-40.94589565548939
5,28.125,35237.92093012699,0.0,3367.216860813246,5203.343951102951,7043.527613709026,8887.767848631473,10736.06465587029,39.516241253796615,-2.647933554489227,-39.516241253796615
6,33.75,27535.24625462841,0.0,-2375.040431320717,1562.5949046130445,5503.639745736244,9448.094092048881,13395.957943550959,36.8690094997897,-1.865000378653501,-36.8690094997897
7,39.375,18635.024604043436,0.0,-7967.878733130202,-2123.020832426506,3724.4209945429393,9574.446747778133,15427.056427279073,33.105932025190484,-1.3564532206954336,-33.105932025190484
8,45.0,8879.395467844273,0.0,-13196.269941090415,-5711.881080505703,1774.1934368239317,9261.953610898488,16751.39944171797,28.37162178698965,-1.1392583895689434,-28.37162178698965
9,50.62499999999999,-1356.6167287949356,0.0,-17859.139957550105,-9066.063194848573,-272.1548889530118,8522.584960136572,17318.156352420185,22.848015672609442,-1.1783471870210516,-22.848015672609442
10,56.25,-11679.53303492137,0.0,-21777.1186849282,-12056.645079681286,-2336.0390407093237,7384.699431987688,17105.570338409747,16.74738276735155,-1.3945731751000607,-16.74738276735155
11,61.87499999999999,-21692.55861775281,0.0,-24799.460310915285,-14568.663056797011,-4338.188763114651,5891.962570131798,16121.790942942338,10.304166972490664,-1.6795743667652236,-10.304166972490664
12,67.5,-31010.84521162983,0.0,-26809.863802121446,-16505.535532835915,-6201.688152938178,4101.678337571772,14404.563938693935,3.7659774576262306,-1.915169609060083,-3.7659774576262306
13,73.12500000000001,-39276.288736681316,0.0,-27730.965753931716,-17792.781601864608,-7854.927598566881,2082.5962559614622,12019.789961720422,-2.615926820844427,-1.9942248186750038,2.615926820844427
14,78.75000000000001,-46171.292187483516,0.0,-27527.329366327758,-18380.890609781796,-9234.35514536627,-87.7229730811774,9059.005907073477,-8.596292860512824,-1.8397019197810827,8.596292860512824
15,84.37500000000003,-51430.96471658903,0.0,-26206.812253747386,-18247.231292685396,-10286.921637470603,-2325.8832881030144,5635.883755417372,-13.945298548302425,-1.4188852076016245,13.945298548302425
16,90.00000000000001,-54853.28902110465,0.0,-23820.259612358626,-17396.92613682708,-10972.125232758235,-4545.856900152084,1881.8788609913724,-18.45738459538842,-0.7505233055188337,18.45738459538842
17,95.62500000000003,-56306.868165759355,0.0,-20459.53527742083,-15862.65665058819,-11263.57582845371,-6662.2928110173925,-2058.8075982792375,-21.959154065388294,0.09628363958301664,21.959154065388294
18,101.25000000000004,-55735.95666185832,0.0,-16253.96861822589,-13703.406708063254,-11150.018065136139,-8593.802689444548,-6034.760580988484,-24.316035921384916,1.0113490343116052,24.316035921384916
19,106.87500000000004,-53162.585266621565,0.0,-11365.357290021757,-11002.192367132542,-10635.77224878382,-10266.09693497559,-9893.166425707857,-25.437456515406883,1.8594548851422963,25.437456515406883
20,112.50000000000006,-48685.7005074854,0.0,-5981.7220242384665,-7862.865931314768,-9740.574969944075,-11614.84914012639,-13485.688441861705,-25.280320282925857,2.5007802428596264,25.280320282925857
21,118.12500000000007,-42477.354106901286,0.0,-310.0576308577983,-4406.117937873675,-8498.824533134906,-12588.177416641487,-16674.17658839342,-23.850665881233073,2.812599043354351,23.850665881233073
22,123.75000000000006,-34776.08998143304,0.0,5431.637639618482,-764.8317831950119,-6958.259601147557,-13148.645814239153,-19335.9904224698,-21.203434127226153,2.708928236535378,21.203434127226153
23,129.37500000000009,-25877.783124099282,0.0,11022.745640188548,2921.0293833105475,-5178.121749193654,-13274.707757324059,-21368.728641080663,-17.440356652626924,2.1550979002457566,17.440356652626924
24,135.00000000000009,-16124.281514457374,0.0,16248.501690006085,6509.806017721632,-3226.872978727149,-12961.535299340258,-22694.18094411769,-12.706046414426057,1.1749682968473458,12.706046414426057
25,140.62500000000009,-5890.285681049219,0.0,20908.232870359287,9863.588204685264,-1179.5567985993007,-12221.20213949441,-23261.34781800006,-7.18244030004585,-0.15037936885536543,7.18244030004585
26,146.25000000000009,4431.032398195952,0.0,24823.046943010682,12853.51473374577,885.0945020600236,-11082.213752046557,-23048.41002857397,-1.081807394787941,-1.6923684519460889,1.081807394787941
27,151.87500000000009,14443.121206050622,0.0,27842.67988564534,15364.721698671816,2887.6938764542097,-9588.403581007482,-22063.570673713257,5.361408400072966,-3.291688633139292,-5.361408400072966
28,157.50000000000009,23761.275092353688,0.0,29851.243037359447,17300.750975357594,4751.256965913242,-7797.238990973618,-20344.73689530298,11.899597914937402,-4.779650217789527,-11.899597914937402
29,163.1250000000001,32027.410180759136,0.0,30771.653168542995,18587.250027327605,6404.1644611320235,-5777.603530043757,-17958.053946199732,18.281502193408052,-6.0009913863855795,-18.281502193408052
