,angle,freq_sum,freq_diff,freq_3212,freq_1212,freq_1232,acs,csa,acs_anti
0,0.0,29996.215352914587,-125000.0,-52872.5,10741.215352914587,72127.5,-1.645619136354256e-13,-3.022953311927808e-31,1.645619136354256e-13
1,5.625,29920.07000198413,-139024.58892534574,-59896.01371190098,10687.508500440345,79128.57521344477,-207.2834671421365,0.2021949917668946,207.2834671421365
2,11.25,29692.91411020435,-179730.3107697228,-80283.98244617137,10530.568232824293,99446.32832355142,-406.601146887908,0.777997612473233,406.601146887908
3,16.875,29318.789562776743,-245552.9985365982,-113258.33077481977,10282.45257581808,132294.66776177843,-590.2933725833274,1.63974713278023,590.2933725833274
4,22.5,28805.058284541126,-333963.31940288364,-157559.988742756,9961.716367169462,176403.33066012766,-751.3009550107072,2.6562500000000004,751.3009550107072
5,28.125,28163.187367304636,-441563.94569819013,-211496.0416693389,9591.325007792333,230067.90402885122,-883.4364630714545,3.6727528672197707,883.4364630714545
6,33.75,27409.568237339612,-564220.0770765394,-273003.33047869796,9196.152118196154,291216.74659784144,-981.622003293242,4.534502387526765,981.622003293242
7,39.375,26566.146583469643,-697218.3033494161,-339726.28031452646,8800.403863106474,357492.02303488966,-1042.0843604284325,5.110305008233105,1042.0843604284325
8,45.0,25660.647038527764,-835447.7083333331,-409106.18841005693,8425.315525308482,426341.5199232762,-1062.5,5.3125,1062.5
9,50.62499999999999,24726.221380094008,-973596.2595389314,-478478.7280318472,8087.417904857035,495117.5315070842,-1042.0843604284325,5.110305008233105,1042.0843604284325
10,56.25,23800.425124312285,-1106354.93959375,-545176.0471608317,7797.579852225674,561178.8924329183,-981.6220032932424,4.534502387526768,981.6220032932424
11,61.87499999999999,22923.523690428236,-1228621.7758092931,-606629.5824504093,7560.912781953689,621992.1933588838,-883.4364630714545,3.6727528672197725,883.4364630714545
12,67.5,22136.231380480807,-1335697.926083826,-660469.5932439893,7377.49178463334,675228.3328398367,-751.3009550107067,2.6562500000000018,751.3009550107067
